id,name,hex,brand,code,productCode,series,zt_order
MARD:ZG1,ZG1,#DAABB3,MARD,ZG1,ZG1,ZG,1
MARD:B16,B16,#C6ED9C,MARD,B16,B16,B,2
MARD:D4,D4,#182A84,MARD,D4,D4,D,3
MARD:F3,F3,#F74941,MARD,F3,F3,F,4
MARD:H6,H6,#2C2C2C,MARD,H6,H6,H,5
MARD:P17,P17,#FFA324,MARD,P17,P17,P,6
MARD:ZG2,ZG2,#D6AA87,MARD,ZG2,ZG2,ZG,7
MARD:B17,B17,#9BB13A,MARD,B17,B17,B,8
MARD:D5,D5,#B843C5,MARD,D5,D5,D,9
MARD:F4,F4,#FC283C,MARD,F4,F4,F,10
MARD:H7,H7,#000000,MARD,H7,H7,H,11
MARD:P18,P18,#FEB89F,MARD,P18,P18,P,12
MARD:ZG3,ZG3,#C1BD8D,MARD,ZG3,ZG3,ZG,13
MARD:B18,B18,#E6EE49,MARD,B18,B18,B,14
MARD:D6,D6,#AC7BDE,MARD,D6,D6,D,15
MARD:F5,F5,#D80127,MARD,F5,F5,F,16
MARD:H8,H8,#E7D6DB,MARD,H8,H8,H,17
MARD:P19,P19,#FFE0E8,MARD,P19,P19,P,18
MARD:ZG4,ZG4,#96869F,MARD,ZG4,ZG4,ZG,19
MARD:B19,B19,#25B88C,MARD,B19,B19,B,20
MARD:D7,D7,#6E399A,MARD,D7,D7,D,21
MARD:F6,F6,#B0443D,MARD,F6,F6,F,22
MARD:H9,H9,#E4E7E3,MARD,H9,H9,H,23
MARD:P20,P20,#FEBECF,MARD,P20,P20,P,24
MARD:ZG5,ZG5,#8490A6,MARD,ZG5,ZG5,ZG,25
MARD:B20,B20,#C2F0CC,MARD,B20,B20,B,26
MARD:D8,D8,#E2D3FF,MARD,D8,D8,D,27
MARD:F7,F7,#971937,MARD,F7,F7,F,28
Hama:H10,H10,#256847,Hama,H10,H10,H,29
MARD:P21,P21,#ECBEC0,MARD,P21,P21,P,30
MARD:ZG6,ZG6,#94BFE2,MARD,ZG6,ZG6,ZG,31
MARD:B21,B21,#146A6B,MARD,B21,B21,B,32
MARD:D9,D9,#D5B9F8,MARD,D9,D9,D,33
MARD:F8,F8,#BC0127,MARD,F8,F8,F,34
Hama:H11,H11,#49AE89,Hama,H11,H11,H,35
MARD:P22,P22,#E4A89E,MARD,P22,P22,P,36
MARD:ZG7,ZG7,#E2A9D2,MARD,ZG7,ZG7,ZG,37
MARD:B22,B22,#0B3C43,MARD,B22,B22,B,38
MARD:D10,D10,#361B50,MARD,D10,D10,D,39
MARD:F9,F9,#E2677A,MARD,F9,F9,F,40
Hama:H12,H12,#534137,Hama,H12,H12,H,41
MARD:P23,P23,#A56269,MARD,P23,P23,P,42
MARD:ZG8,ZG8,#AB91C0,MARD,ZG8,ZG8,ZG,43
MARD:B23,B23,#303921,MARD,B23,B23,B,44
MARD:D11,D11,#B9BAE1,MARD,D11,D11,D,45
MARD:F10,F10,#A74D22,MARD,F10,F10,F,46
MARD:H13,H13,#F3E1C9,MARD,H13,H13,H,47
MARD:Q1,Q1,#F2A5E8,MARD,Q1,Q1,Q,48
MARD:A1,A1,#F9F0CD,MARD,A1,A1,A,49
MARD:B24,B24,#EEFCA5,MARD,B24,B24,B,50
MARD:D12,D12,#DE9AD4,MARD,D12,D12,D,51
MARD:F11,F11,#6F201F,MARD,F11,F11,F,52
MARD:H14,H14,#CFD7D3,MARD,H14,H14,H,53
MARD:Q2,Q2,#73B29E,MARD,Q2,Q2,Q,54
MARD:A2,A2,#FBFBD4,MARD,A2,A2,A,55
MARD:B25,B25,#4E846D,MARD,B25,B25,B,56
MARD:D13,D13,#B90295,MARD,D13,D13,D,57
MARD:F12,F12,#FD4D6A,MARD,F12,F12,F,58
MARD:H15,H15,#98A6A8,MARD,H15,H15,H,59
MARD:Q3,Q3,#FFFF00,MARD,Q3,Q3,Q,60
MARD:A3,A3,#FAFC9F,MARD,A3,A3,A,61
MARD:B26,B26,#8C7A36,MARD,B26,B26,B,62
MARD:D14,D14,#8B279B,MARD,D14,D14,D,63
MARD:F13,F13,#DD422F,MARD,F13,F13,F,64
MARD:H16,H16,#3B2F23,MARD,H16,H16,H,65
MARD:Q4,Q4,#FFEBFA,MARD,Q4,Q4,Q,66
MARD:A4,A4,#FFE953,MARD,A4,A4,A,67
MARD:B27,B27,#D1DCC1,MARD,B27,B27,B,68
MARD:D15,D15,#2F1F90,MARD,D15,D15,D,69
MARD:F14,F14,#FFA9AD,MARD,F14,F14,F,70
Hama:H17,H17,#83888A,Hama,H17,H17,H,71
MARD:Q5,Q5,#4F5E5B,MARD,Q5,Q5,Q,72
MARD:A5,A5,#F4D738,MARD,A5,A5,A,73
MARD:B28,B28,#9EE5B9,MARD,B28,B28,B,74
MARD:D16,D16,#E2E1EE,MARD,D16,D16,D,75
MARD:F15,F15,#C80020,MARD,F15,F15,F,76
Hama:H18,H18,#2E2F31,Hama,H18,H18,H,77
MARD:R1,R1,#D50E21,MARD,R1,R1,R,78
MARD:A6,A6,#FDAD49,MARD,A6,A6,A,79
MARD:B29,B29,#C5E254,MARD,B29,B29,B,80
MARD:D17,D17,#C4D4F6,MARD,D17,D17,D,81
MARD:F16,F16,#FFD9C8,MARD,F16,F16,F,82
MARD:H19,H19,#F6EFE2,MARD,H19,H19,H,83
MARD:R2,R2,#F92E83,MARD,R2,R2,R,84
MARD:A7,A7,#FF7C2F,MARD,A7,A7,A,85
MARD:B30,B30,#ECFBD0,MARD,B30,B30,B,86
MARD:D18,D18,#A45EC7,MARD,D18,D18,D,87
MARD:F17,F17,#F79B71,MARD,F17,F17,F,88
Hama:H20,H20,#7F332A,Hama,H20,H20,H,89
MARD:R3,R3,#FD8225,MARD,R3,R3,R,90
MARD:A8,A8,#EACA49,MARD,A8,A8,A,91
MARD:B31,B31,#C4E6B5,MARD,B31,B31,B,92
MARD:D19,D19,#D8C3D7,MARD,D19,D19,D,93
MARD:F18,F18,#D37C46,MARD,F18,F18,F,94
Hama:H21,H21,#A5693F,Hama,H21,H21,H,95
MARD:R4,R4,#F8EC31,MARD,R4,R4,R,96
MARD:A9,A9,#FF995A,MARD,A9,A9,A,97
MARD:B32,B32,#9BAB5A,MARD,B32,B32,B,98
MARD:D20,D20,#9C32B2,MARD,D20,D20,D,99
MARD:F19,F19,#C1444A,MARD,F19,F19,F,100
Hama:H22,H22,#A52D36,Hama,H22,H22,H,101
MARD:R5,R5,#34C75B,MARD,R5,R5,R,102
MARD:A10,A10,#FF9D55,MARD,A10,A10,A,103
MARD:C1,C1,#E8FFE7,MARD,C1,C1,C,104
MARD:D21,D21,#9A009B,MARD,D21,D21,D,105
MARD:F20,F20,#CD9391,MARD,F20,F20,F,106
MARD:H23,H23,#9A9D94,MARD,H23,H23,H,107
MARD:R6,R6,#25B891,MARD,R6,R6,R,108
MARD:A11,A11,#FFDD99,MARD,A11,A11,A,109
MARD:C2,C2,#BCF9F6,MARD,C2,C2,C,110
MARD:D22,D22,#333995,MARD,D22,D22,D,111
MARD:F21,F21,#F4B1B4,MARD,F21,F21,F,112
MARD:M1,M1,#BCC6B8,MARD,M1,M1,M,113
MARD:R7,R7,#17779D,MARD,R7,R7,R,114
MARD:A12,A12,#FCB58F,MARD,A12,A12,A,115
MARD:C3,C3,#A0E2FB,MARD,C3,C3,C,116
MARD:D23,D23,#EADAFC,MARD,D23,D23,D,117
MARD:F22,F22,#FFD0CB,MARD,F22,F22,F,118
MARD:M2,M2,#8AA385,MARD,M2,M2,M,119
MARD:R8,R8,#1B60C3,MARD,R8,R8,R,120
MARD:A13,A13,#FFBB59,MARD,A13,A13,A,121
MARD:C4,C4,#42CCFF,MARD,C4,C4,C,122
MARD:D24,D24,#7786E5,MARD,D24,D24,D,123
MARD:F23,F23,#F57E66,MARD,F23,F23,F,124
MARD:M3,M3,#697D80,MARD,M3,M3,M,125
MARD:R9,R9,#9A56B4,MARD,R9,R9,R,126
MARD:A14,A14,#FF6D40,MARD,A14,A14,A,127
MARD:C5,C5,#01ACEB,MARD,C5,C5,C,128
MARD:D25,D25,#484FC7,MARD,D25,D25,D,129
MARD:F24,F24,#FCC1C4,MARD,F24,F24,F,130
MARD:M4,M4,#DACEBE,MARD,M4,M4,M,131
MARD:R10,R10,#FFDB4D,MARD,R10,R10,R,132
MARD:A15,A15,#FDFF44,MARD,A15,A15,A,133
MARD:C6,C6,#50A9F0,MARD,C6,C6,C,134
MARD:D26,D26,#E9C3F6,MARD,D26,D26,D,135
MARD:F25,F25,#E54B4F,MARD,F25,F25,F,136
MARD:M5,M5,#D0CCAA,MARD,M5,M5,M,137
MARD:R11,R11,#FFEBFA,MARD,R11,R11,R,138
MARD:A16,A16,#FEF9AE,MARD,A16,A16,A,139
MARD:C7,C7,#0188D3,MARD,C7,C7,C,140
MARD:E1,E1,#FDD3CC,MARD,E1,E1,E,141
MARD:G1,G1,#FFE2CE,MARD,G1,G1,G,142
MARD:M6,M6,#B0A782,MARD,M6,M6,M,143
MARD:R12,R12,#D8D5CE,MARD,R12,R12,R,144
MARD:A17,A17,#FFE36E,MARD,A17,A17,A,145
MARD:C8,C8,#1054C0,MARD,C8,C8,C,146
MARD:E2,E2,#FECDDF,MARD,E2,E2,E,147
MARD:G2,G2,#FFCAAA,MARD,G2,G2,G,148
MARD:M7,M7,#B4A497,MARD,M7,M7,M,149
MARD:R13,R13,#55514C,MARD,R13,R13,R,150
MARD:A18,A18,#FECF98,MARD,A18,A18,A,151
MARD:C9,C9,#314BCA,MARD,C9,C9,C,152
MARD:E3,E3,#FF97C3,MARD,E3,E3,E,153
MARD:G3,G3,#F4C3A5,MARD,G3,G3,G,154
MARD:M8,M8,#B38281,MARD,M8,M8,M,155
MARD:R14,R14,#9EE4DF,MARD,R14,R14,R,156
MARD:A19,A19,#FD7B72,MARD,A19,A19,A,157
MARD:C10,C10,#3EBCE2,MARD,C10,C10,C,158
MARD:E4,E4,#E8649E,MARD,E4,E4,E,159
MARD:G4,G4,#E1B383,MARD,G4,G4,G,160
MARD:M9,M9,#A58767,MARD,M9,M9,M,161
MARD:R15,R15,#77CEE9,MARD,R15,R15,R,162
MARD:A20,A20,#EFCD67,MARD,A20,A20,A,163
MARD:C11,C11,#03B9B9,MARD,C11,C11,C,164
MARD:E5,E5,#F551A2,MARD,E5,E5,E,165
MARD:G5,G5,#ED9435,MARD,G5,G5,G,166
MARD:M10,M10,#C5B1BC,MARD,M10,M10,M,167
MARD:R16,R16,#3DCFCA,MARD,R16,R16,R,168
MARD:A21,A21,#FFE395,MARD,A21,A21,A,169
MARD:C12,C12,#1C334D,MARD,C12,C12,C,170
MARD:E6,E6,#FF346B,MARD,E6,E6,E,171
MARD:G6,G6,#F59734,MARD,G6,G6,G,172
MARD:M11,M11,#9F7494,MARD,M11,M11,M,173
MARD:R17,R17,#4A867A,MARD,R17,R17,R,174
MARD:A22,A22,#FFF3A4,MARD,A22,A22,A,175
MARD:C13,C13,#CDE8FF,MARD,C13,C13,C,176
MARD:E7,E7,#C63578,MARD,E7,E7,E,177
MARD:G7,G7,#9D5B3E,MARD,G7,G7,G,178
MARD:M12,M12,#644749,MARD,M12,M12,M,179
MARD:R18,R18,#7FCD9D,MARD,R18,R18,R,180
MARD:A23,A23,#F3D5BF,MARD,A23,A23,A,181
MARD:C14,C14,#D5FDFF,MARD,C14,C14,C,182
MARD:E8,E8,#FFDBE9,MARD,E8,E8,E,183
MARD:G8,G8,#592A21,MARD,G8,G8,G,184
MARD:M13,M13,#D19066,MARD,M13,M13,M,185
MARD:R19,R19,#CDE55D,MARD,R19,R19,R,186
MARD:A24,A24,#FBF8C9,MARD,A24,A24,A,187
MARD:C15,C15,#23C4C6,MARD,C15,C15,C,188
MARD:E9,E9,#E970CC,MARD,E9,E9,E,189
MARD:G9,G9,#E6B483,MARD,G9,G9,G,190
MARD:M14,M14,#C77361,MARD,M14,M14,M,191
MARD:R20,R20,#E8C7B4,MARD,R20,R20,R,192
MARD:A25,A25,#FFD67D,MARD,A25,A25,A,193
MARD:C16,C16,#1757A8,MARD,C16,C16,C,194
MARD:E10,E10,#D33893,MARD,E10,E10,E,195
MARD:G10,G10,#C88135,MARD,G10,G10,G,196
MARD:M15,M15,#757D7B,MARD,M15,M15,M,197
MARD:R21,R21,#AD6F3C,MARD,R21,R21,R,198
MARD:A26,A26,#FFBB27,MARD,A26,A26,A,199
MARD:C17,C17,#50D3EC,MARD,C17,C17,C,200
MARD:E11,E11,#FCDDD2,MARD,E11,E11,E,201
MARD:G11,G11,#E0C593,MARD,G11,G11,G,202
MARD:P1,P1,#FCF8F9,MARD,P1,P1,P,203
MARD:R22,R22,#6C372F,MARD,R22,R22,R,204
MARD:B1,B1,#E6EE32,MARD,B1,B1,B,205
MARD:C18,C18,#1C3344,MARD,C18,C18,C,206
MARD:E12,E12,#FFA1C5,MARD,E12,E12,E,207
MARD:G12,G12,#EBBB83,MARD,G12,G12,G,208
MARD:P2,P2,#BDA9AB,MARD,P2,P2,P,209
MARD:R23,R23,#FEB872,MARD,R23,R23,R,210
MARD:B2,B2,#5BE419,MARD,B2,B2,B,211
MARD:C19,C19,#1787A2,MARD,C19,C19,C,212
MARD:E13,E13,#B6006D,MARD,E13,E13,E,213
MARD:G13,G13,#B7714A,MARD,G13,G13,G,214
MARD:P3,P3,#AEDDA9,MARD,P3,P3,P,215
MARD:R24,R24,#F2C1C0,MARD,R24,R24,R,216
MARD:B3,B3,#7CEE9D,MARD,B3,B3,B,217
MARD:C20,C20,#0082BE,MARD,C20,C20,C,218
MARD:E14,E14,#FFD1BA,MARD,E14,E14,E,219
MARD:G14,G14,#8D614C,MARD,G14,G14,G,220
MARD:P4,P4,#FDA49E,MARD,P4,P4,P,221
MARD:R25,R25,#C9675D,MARD,R25,R25,R,222
MARD:B4,B4,#1EF942,MARD,B4,B4,B,223
MARD:C21,C21,#BEDDFF,MARD,C21,C21,C,224
MARD:E15,E15,#F2CFD0,MARD,E15,E15,E,225
MARD:G15,G15,#FCF9E0,MARD,G15,G15,G,226
MARD:P5,P5,#EC8D3D,MARD,P5,P5,P,227
MARD:R26,R26,#D293BE,MARD,R26,R26,R,228
MARD:B5,B5,#00BD35,MARD,B5,B5,B,229
MARD:C22,C22,#67B4BE,MARD,C22,C22,C,230
MARD:E16,E16,#FFECDE,MARD,E16,E16,E,231
MARD:G16,G16,#F2D9BA,MARD,G16,G16,G,232
MARD:P6,P6,#60CFA8,MARD,P6,P6,P,233
MARD:R27,R27,#EA8CB1,MARD,R27,R27,R,234
MARD:B6,B6,#5AE8BA,MARD,B6,B6,B,235
MARD:C23,C23,#C2DCEB,MARD,C23,C23,C,236
MARD:E17,E17,#FFE2EA,MARD,E17,E17,E,237
MARD:G17,G17,#56403C,MARD,G17,G17,G,238
MARD:P7,P7,#EB9271,MARD,P7,P7,P,239
MARD:R28,R28,#9C87D6,MARD,R28,R28,R,240
MARD:B7,B7,#03AC88,MARD,B7,B7,B,241
MARD:C24,C24,#7DC4FF,MARD,C24,C24,C,242
MARD:E18,E18,#FFC9D6,MARD,E18,E18,E,243
MARD:G18,G18,#FFE4CC,MARD,G18,G18,G,244
MARD:P8,P8,#F0D958,MARD,P8,P8,P,245
MARD:T1,T1,#E2DFD7,MARD,T1,T1,T,246
MARD:B8,B8,#029D26,MARD,B8,B8,B,247
MARD:C25,C25,#A9E5E5,MARD,C25,C25,C,248
MARD:E19,E19,#FFD2E7,MARD,E19,E19,E,249
MARD:G19,G19,#E1943A,MARD,G19,G19,G,250
MARD:P9,P9,#D9D9D9,MARD,P9,P9,P,251
MARD:Y1,Y1,#FD6FB4,MARD,Y1,Y1,Y,252
MARD:B9,B9,#26523A,MARD,B9,B9,B,253
MARD:C26,C26,#2F99B3,MARD,C26,C26,C,254
